3159_0_0_0;Россия
9908_0_0_0;Украина
248_0_0_0;Беларусь
1894_0_0_0;Казахстан
1012_0_0_0;Германия
295942213_0_0_0;Абхазия
4_0_0_0;Австралия
63_0_0_0;Австрия
81_0_0_0;Азербайджан
582079_0_0_0;Албания
582059_0_0_0;Алжир
582086_0_0_0;Ангола
173_0_0_0;Ангуилья
23269623_0_0_0;Андорра
23269625_0_0_0;Антигуа и Барбуда
23269688_0_0_0;Антильские о-ва
177_0_0_0;Аргентина
245_0_0_0;Армения
7716093_0_0_0;Арулько
23269622_0_0_0;Афганистан
582029_0_0_0;Багамские о-ва
23269627_0_0_0;Бангладеш
582098_0_0_0;Барбадос
582097_0_0_0;Бахрейн
401_0_0_0;Белиз
404_0_0_0;Бельгия
23269629_0_0_0;Бенин
425_0_0_0;Бермуды
428_0_0_0;Болгария
582092_0_0_0;Боливия
582028_0_0_0;Босния/Герцеговина
582061_0_0_0;Ботсвана
467_0_0_0;Бразилия
23269633_0_0_0;Британские Виргинские о-ва
23269634_0_0_0;Бруней
23269635_0_0_0;Буркина Фасо
23269636_0_0_0;Бурунди
23269630_0_0_0;Бутан
23269722_0_0_0;Валлис и Футуна о-ва
23269721_0_0_0;Вануату
616_0_0_0;Великобритания
924_0_0_0;Венгрия
582053_0_0_0;Венесуэла
23269652_0_0_0;Восточный Тимор
971_0_0_0;Вьетнам
23269661_0_0_0;Габон
994_0_0_0;Гаити
23269670_0_0_0;Гайана
23269662_0_0_0;Гамбия
582066_0_0_0;Гана
1007_0_0_0;Гваделупа
23269666_0_0_0;Гватемала
23269668_0_0_0;Гвинея
23269669_0_0_0;Гвинея-Бисау
23269667_0_0_0;Гернси о-в
20738587_0_0_0;Гибралтар
2567393_0_0_0;Гондурас
277557_0_0_0;Гонконг
23269665_0_0_0;Гренада
582052_0_0_0;Гренландия
1258_0_0_0;Греция
1280_0_0_0;Грузия
1366_0_0_0;Дания
23269674_0_0_0;Джерси о-в
23269650_0_0_0;Джибути
2577958_0_0_0;Доминиканская республика
23269655_0_0_0;Европы о-в
1380_0_0_0;Египет
582081_0_0_0;Замбия
23269723_0_0_0;Западная Сахара
582056_0_0_0;Зимбабве
1393_0_0_0;Израиль
1451_0_0_0;Индия
277559_0_0_0;Индонезия
277561_0_0_0;Иордания
3410238_0_0_0;Ирак
1663_0_0_0;Иран
1696_0_0_0;Ирландия
582039_0_0_0;Исландия
1707_0_0_0;Испания
1786_0_0_0;Италия
23269724_0_0_0;Йемен
23269638_0_0_0;Кабо-Верде
23269637_0_0_0;Камбоджа
2163_0_0_0;Камерун
2172_0_0_0;Канада
23269697_0_0_0;Катар
582057_0_0_0;Кения
2297_0_0_0;Кипр
23269676_0_0_0;Кирибати
2374_0_0_0;Китай
582033_0_0_0;Колумбия
23269645_0_0_0;Коморские о-ва
582076_0_0_0;Конго (Brazzaville)
23269646_0_0_0;Конго (Kinshasa)
2430_0_0_0;Коста-Рика
23269649_0_0_0;Кот-д'Ивуар
582077_0_0_0;Куба
2443_0_0_0;Кувейт
23269647_0_0_0;Кука о-ва
2303_0_0_0;Кыргызстан
23269677_0_0_0;Лаос
2448_0_0_0;Латвия
23269678_0_0_0;Лесото
23269679_0_0_0;Либерия
